NAME,TEAM,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IB,HBP,SO,SF,SH,GDP,SB,CS,AVG
최원준,Tigers,143,668,589,174,144,21,5,4,82,44,61,0,11,68,3,7,7,40,12,0.295
배정대,Wiz,144,595,510,132,96,23,1,12,85,68,65,2,12,132,5,8,9,19,7,0.259
황재균,Wiz,117,507,453,132,104,16,2,10,74,56,46,1,3,92,4,5,11,11,4,0.291
마차도,Giants,134,539,466,130,103,21,1,5,83,58,58,1,4,65,7,11,9,8,4,0.279
최주환,Landers,116,470,406,104,70,16,0,18,50,67,53,4,9,84,2,2,7,2,1,0.256
양석환,Bears,133,546,488,133,83,22,0,28,66,96,42,2,9,136,7,7,10,2,3,0.273
채은성,Twins,110,448,387,107,71,20,0,16,59,82,38,2,16,80,7,7,9,4,2,0.276
박계범,Bears,118,385,322,86,68,12,1,5,44,46,44,0,9,68,3,10,8,4,3,0.267
장성우,Wiz,127,460,385,89,62,13,0,14,46,63,60,3,3,69,3,12,16,1,2,0.231
유한준,Wiz,103,337,282,87,66,16,0,5,30,42,44,5,7,34,4,4,12,1,0,0.309
김태연,Eagles,53,220,176,53,38,12,0,3,29,34,34,0,5,44,5,5,4,5,3,0.301
유강남,Twins,130,441,397,100,73,16,0,11,39,60,25,1,14,75,2,5,11,2,0,0.252
김성현,Landers,110,274,237,67,46,15,0,6,27,37,29,0,0,29,4,8,8,5,1,0.283
오지환,Twins,134,532,464,118,90,19,1,8,62,57,54,0,5,82,5,9,11,12,6,0.254
최지훈,Landers,136,534,461,121,91,19,6,5,75,46,51,0,8,71,6,14,6,26,6,0.262
김인태,Bears,133,418,344,89,65,15,1,8,51,46,62,0,3,68,4,9,10,0,2,0.259
이재원,Landers,107,313,271,76,60,13,0,3,29,30,29,4,5,47,2,8,14,0,2,0.280
이명기,Dinos,56,232,191,56,42,12,0,2,30,14,37,0,1,27,0,3,2,6,3,0.293
박석민,Dinos,59,205,171,44,26,8,0,10,27,41,27,1,2,43,2,5,8,0,0,0.257
권희동,Dinos,55,171,133,35,24,3,0,8,25,26,29,1,5,24,3,4,4,2,0,0.263
서건창,Heroes,76,333,278,72,55,12,1,4,45,28,45,2,6,44,3,4,9,6,4,0.259
심우준,Wiz,139,460,407,109,81,20,2,6,61,48,32,0,4,65,6,16,2,16,6,0.268
김병희,Wiz,34,70,52,15,7,3,0,5,16,13,13,0,3,15,0,2,0,3,0,0.288
송우현,Heroes,69,282,250,74,52,17,2,3,34,42,28,1,2,49,1,2,4,1,1,0.296
류지혁,Tigers,92,327,273,76,66,8,0,2,37,34,42,1,7,46,3,5,7,0,0,0.278
허경민,Bears,136,518,468,130,100,24,1,5,61,59,36,1,8,35,3,6,21,5,7,0.278
로맥,Landers,107,421,355,80,49,11,0,20,55,52,59,1,4,82,3,3,9,1,0,0.225
김민혁,Wiz,75,199,172,55,46,6,2,1,22,13,20,0,2,26,0,5,3,6,3,0.320
지시완,Giants,73,187,166,40,24,9,0,7,23,26,14,0,5,54,0,2,6,0,0,0.241
안중열,Giants,58,157,125,29,21,5,0,3,19,16,27,0,1,25,1,4,1,0,0,0.232
이대호,Giants,114,465,420,120,90,11,0,19,39,81,34,3,5,49,6,6,12,0,0,0.286
김웅빈,Heroes,97,279,232,56,36,13,1,6,24,35,34,2,9,73,2,4,2,1,1,0.241
조수행,Bears,115,104,84,24,20,2,1,1,34,8,16,0,3,26,0,1,1,21,4,0.286
이원석,Lions,131,480,399,92,64,19,0,9,40,59,60,2,11,80,8,10,11,1,0,0.231
박찬호,Tigers,131,483,418,103,82,15,5,1,51,59,54,0,0,73,3,11,11,9,4,0.246
박민우,Dinos,50,215,180,47,38,5,3,1,30,18,22,0,7,23,2,6,4,12,3,0.261
김강민,Landers,122,260,223,53,32,12,1,8,43,27,25,1,6,52,3,6,3,3,3,0.238
장승현,Bears,92,211,177,41,29,10,0,2,18,27,19,0,8,50,1,7,2,0,0,0.232
정수빈,Bears,104,351,313,81,55,19,4,3,50,37,29,1,3,50,1,5,7,12,7,0.259
김태군,Dinos,102,276,232,51,37,7,0,7,23,24,21,0,11,30,3,12,4,0,1,0.220
김민식,Tigers,100,301,250,55,44,8,0,3,30,26,41,1,4,49,3,6,2,0,0,0.220
허도환,Wiz,62,125,105,29,21,6,0,2,8,21,8,0,2,28,0,10,3,0,0,0.276
김지찬,Lions,120,336,296,81,74,6,0,1,50,26,27,0,0,31,3,13,0,23,4,0.274
오윤석,Wiz,64,122,95,24,18,4,0,2,14,12,20,0,2,26,0,5,2,2,0,0.253
권동진,Wiz,86,86,67,17,11,5,0,1,21,6,18,0,0,30,0,1,0,3,3,0.254
김헌곤,Lions,118,364,317,89,75,8,2,4,38,27,34,0,5,46,5,8,9,5,4,0.281
김재유,Giants,87,192,174,50,41,8,0,1,27,18,10,0,4,36,0,4,1,7,0,0.287
김주원,Dinos,69,189,166,40,27,7,1,5,20,16,17,0,2,57,2,4,5,6,2,0.241
추재현,Giants,95,300,262,66,46,15,0,5,37,26,26,0,7,57,0,5,3,4,3,0.252
박병호,Heroes,118,477,409,93,50,23,0,20,48,76,47,3,14,141,7,7,9,0,1,0.227
이현석,Landers,39,89,79,21,12,5,0,4,7,19,5,0,0,29,2,5,0,0,0,0.266
한승택,Tigers,82,239,203,44,34,7,0,3,17,16,28,0,3,61,0,4,6,0,0,0.217
송성문,Heroes,66,274,245,61,44,10,1,6,30,33,25,0,1,42,1,3,2,0,0,0.249
이성곤,Eagles,60,206,172,46,31,12,2,1,17,24,29,0,3,52,1,2,4,0,3,0.267
이흥련,Landers,90,146,127,30,24,3,0,3,15,14,12,0,5,31,0,2,4,0,0,0.236
문보경,Twins,107,329,278,64,44,11,1,8,37,39,46,1,0,64,2,5,5,3,1,0.230
김민수,Lions,47,87,76,20,12,5,0,3,9,13,6,0,1,13,2,4,2,0,0,0.263
서건창,Twins,68,267,235,58,43,12,1,2,33,25,24,0,3,34,1,5,5,6,0,0.247
이형종,Twins,90,281,239,52,31,11,0,10,32,34,34,1,7,65,0,1,10,3,1,0.218
김준태,Giants,47,131,111,23,14,5,0,4,17,15,17,0,1,35,2,2,2,0,0,0.207
알몬테,Wiz,60,250,225,61,45,9,0,7,18,36,22,0,1,50,2,2,9,1,0,0.271
최용제,Bears,78,119,104,29,26,3,0,0,7,15,11,0,2,21,1,2,0,0,0,0.279
김주형,Heroes,36,70,50,9,6,3,0,0,5,5,4,0,13,15,0,3,0,1,0,0.180
김찬형,Dinos,17,26,22,8,7,1,0,0,2,1,2,0,1,5,0,1,0,0,0,0.364
강승호,Bears,113,340,301,72,47,16,2,7,47,37,22,1,6,78,3,11,8,8,2,0.239
안재석,Bears,96,224,200,51,39,8,2,2,28,14,16,0,4,53,4,4,4,1,0,0.255
이지영,Heroes,108,258,233,64,58,5,1,0,29,31,19,2,1,17,3,5,10,3,1,0.275
호잉,Wiz,68,294,259,62,39,11,1,11,32,52,26,2,4,52,5,5,2,5,2,0.239
신용수,Giants,71,136,119,31,23,5,2,1,23,6,11,0,3,20,1,3,2,3,1,0.261
김민성,Twins,121,426,360,80,50,22,0,8,35,39,42,2,8,73,5,16,7,3,3,0.222
최정원,Dinos,72,238,212,60,54,4,2,0,40,8,18,0,4,40,0,4,0,9,8,0.283
오태곤,Landers,122,253,235,63,44,10,0,9,47,35,14,0,2,52,1,2,4,9,4,0.268
이정범,Landers,19,66,59,15,8,4,0,3,8,9,7,0,0,15,0,0,1,0,0,0.254
터커,Tigers,127,539,468,111,77,24,1,9,42,59,61,1,8,66,2,2,12,0,0,0.237
송민섭,Wiz,122,65,48,11,11,0,0,0,39,7,12,0,0,22,0,5,0,15,1,0.229
김성표,Lions,39,24,18,6,6,0,0,0,10,1,5,0,0,7,0,1,0,2,1,0.333
윤형준,Dinos,51,81,74,22,17,0,0,5,10,10,3,0,0,17,1,4,2,0,1,0.297
정주현,Twins,73,214,181,43,32,7,1,3,26,10,24,0,0,32,1,9,4,3,3,0.238
한석현,Twins,16,26,21,6,3,2,1,0,5,1,3,0,1,7,1,1,1,2,0,0.286
페레즈,Eagles,59,252,224,60,39,15,1,5,26,33,17,0,4,52,7,7,4,4,5,0.268
노수광,Eagles,52,180,160,37,27,7,0,3,21,14,17,0,1,46,0,2,1,13,1,0.231
이진영,Tigers,17,47,40,8,3,2,1,2,8,5,3,0,4,22,0,0,0,1,0,0.200
최영진,Lions,44,63,57,16,13,1,1,1,9,6,5,0,1,12,0,0,1,1,0,0.281
김호령,Tigers,62,154,130,27,21,2,0,4,16,15,16,0,6,44,0,2,2,4,1,0.208
