Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
박성한,Wyverns,22,41,99,112,24,20,2,0,2,7,8,11,0,21,1,0,1,1,1,1,0.24242424
강백호,Wiz,20,129,500,574,165,105,36,1,23,95,89,66,9,93,5,3,0,7,7,2,0.33
추재현,Giants,21,13,24,28,3,3,0,0,0,3,0,4,0,8,0,0,0,0,0,0,0.125
한동희,Giants,21,135,461,531,128,89,22,0,17,62,67,57,0,97,5,3,5,15,0,3,0.27765727
정은원,Eagles,20,79,254,303,63,49,9,2,3,28,29,41,0,41,5,1,2,4,1,1,0.2480315
최준우,Wyverns,21,66,182,207,43,36,4,0,3,23,14,19,0,28,0,1,5,3,1,1,0.23626374
김형준,Dinos,20,44,72,82,22,18,1,0,3,12,11,10,0,21,0,0,0,1,0,0,0.30555556
구본혁,Twins,23,125,86,98,14,12,0,1,1,20,7,7,0,18,2,0,3,2,0,0,0.1627907
박승규,Lions,19,91,182,196,47,35,11,0,1,24,14,7,0,32,3,0,4,4,4,4,0.25824176
김도환,Lions,20,34,41,49,9,7,2,0,0,2,9,5,0,16,0,2,1,0,0,0,0.2195122
오선우,Tigers,23,59,67,73,16,12,0,0,4,11,14,3,0,26,3,0,0,2,0,0,0.23880597
노시환,Eagles,19,106,346,387,76,44,18,2,12,46,43,33,1,116,6,1,1,8,0,1,0.21965318
유장혁,Eagles,20,30,42,46,7,6,1,0,0,3,0,4,0,18,0,0,0,0,0,1,0.16666667
채현우,Wyverns,24,16,23,24,3,2,1,0,0,2,0,1,0,8,0,0,0,2,3,0,0.13043478
김창평,Wyverns,20,35,78,90,15,10,4,1,0,10,7,11,0,16,0,1,0,2,7,0,0.19230769
김주찬,Tigers,39,7,18,18,6,5,0,0,1,3,2,0,0,2,0,0,0,2,0,0,0.33333333
이성우,Twins,38,72,77,88,18,14,1,0,3,7,11,6,0,14,0,0,5,3,0,0,0.23376623
김강민,Wyverns,37,122,289,327,73,49,11,1,12,39,45,27,2,62,4,2,5,9,7,5,0.25259516
정상호,Bears,37,42,86,92,14,8,6,0,0,3,8,2,0,29,0,1,3,4,0,0,0.1627907
최형우,Tigers,36,140,522,600,185,119,37,1,28,93,116,70,5,101,5,3,0,9,0,0,0.35440613
박경수,Wiz,36,119,324,391,91,61,17,0,13,33,59,48,2,96,9,7,3,13,0,1,0.2808642
이성열,Eagles,35,79,227,248,46,33,5,0,8,23,34,16,0,69,5,0,0,4,1,1,0.20264317
나주환,Tigers,36,64,204,222,57,46,5,0,6,21,26,12,0,44,1,1,4,6,0,0,0.27941176
지석훈,Dinos,36,87,121,142,25,16,8,0,1,22,12,15,0,33,2,2,2,4,0,0,0.20661157
윤석민,Wyverns,34,34,73,76,14,9,2,0,3,4,12,2,0,12,0,1,0,4,0,0,0.19178082
유한준,Wiz,38,119,386,428,108,80,17,0,11,48,64,40,2,51,0,1,1,9,0,0,0.27979275
최진행,Eagles,34,84,214,240,50,37,5,0,8,23,30,18,0,59,5,3,0,11,0,0,0.23364486
정의윤,Wyverns,33,76,187,203,45,38,5,1,1,13,20,12,1,38,1,3,0,7,0,1,0.24064171
오재일,Bears,33,127,471,534,147,99,32,0,16,62,89,61,1,92,0,2,0,12,2,1,0.31210191
이원석,Lions,33,121,403,467,108,78,17,0,13,46,74,49,1,82,2,12,1,7,0,1,0.26799007
정근우,Twins,37,72,154,177,37,32,4,0,1,23,14,17,1,23,2,1,3,4,7,2,0.24025974
이병규,Giants,36,53,164,194,45,32,4,0,9,28,32,28,0,55,1,1,0,5,0,0,0.27439024
최주환,Bears,32,140,509,574,156,107,29,4,16,63,88,47,5,66,7,10,1,7,2,1,0.3064833
김문호,Eagles,33,18,46,52,10,7,1,0,2,6,5,5,0,11,1,0,0,1,0,0,0.2173913
송광민,Eagles,37,94,277,298,65,44,12,0,9,31,43,14,1,69,3,3,1,16,0,0,0.23465704
김성현,Wyverns,33,133,343,392,93,81,9,1,2,34,25,30,0,27,5,3,11,10,1,1,0.27113703
이재원,Wyverns,32,80,222,251,41,31,8,0,2,18,21,19,3,24,6,1,3,12,0,0,0.18468468
이명기,Dinos,32,136,477,540,146,123,18,3,2,82,45,50,0,78,4,4,5,6,12,7,0.30607966
김재현,Wyverns,32,8,14,14,2,2,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0.14285714
허도환,Wiz,35,52,53,62,14,13,1,0,0,2,5,6,0,15,2,0,1,2,0,0,0.26415094
채태인,Wyverns,37,71,160,189,45,33,5,0,7,11,24,29,2,33,0,0,0,4,0,0,0.28125
김민성,Twins,31,87,297,333,79,54,20,0,5,29,47,24,2,66,4,4,4,8,2,1,0.26599327
